,company_name,location,classification,revenue
2647,,"SIGNAL MTN, TN",Single Organization Support,"$97,984"
2648,,"CARTHAGE, TN",Fund Raising and/or Fund Distribution,
2649,,"CARTHAGE, TN",Fund Raising and/or Fund Distribution,
2650,,"SIGNAL MTN, TN",Fund Raising and/or Fund Distribution,
2651,,"SMYRNA, TN",Parent/Teacher Group,
2652,,"SMYRNA, TN","Secondary, High School","$39,533"
2653,,"SMYRNA, TN",Single Organization Support,"$38,725"
2654,,"NASHVILLE, TN",Education N.E.C.,
2655,,"FAYETTEVILLE, TN",Alliance/Advocacy Organizations,
2656,,"NASHVILLE, TN",Educational Services and Schools - Other,"$73,902"
2657,,"HARROGATE, TN","Scholarships, Student Financial Aid Services, Awards",
2658,,"KNOXVILLE, TN",Education N.E.C.,
2659,,"TULLAHOMA, TN",Education N.E.C.,
2660,,"HENDERSON, TN","Kindergarten, Preschool, Nursery School, Early Admissions",
2661,,"SHELBYVILLE, TN",Parent/Teacher Group,
2662,,"HENDERSONVLLE, TN","Kindergarten, Preschool, Nursery School, Early Admissions",
2663,,"NASHVILLE, TN","Kindergarten, Preschool, Nursery School, Early Admissions",
2664,,"MEMPHIS, TN",Education N.E.C.,
2665,,"SPRING HILL, TN","Elementary, Secondary Education, K - 12","$240,543"
2666,,"SPRING HILL, TN",Libraries,
2667,,"MOUNT JULIET, TN",Parent/Teacher Group,"$46,202"
2668,,"SPRINGFIELD, TN",Fund Raising and/or Fund Distribution,
2669,,"SODDY DAISY, TN",Fund Raising and/or Fund Distribution,
2670,,"COLLIERVILLE, TN","Secondary, High School","$20,730,211"
2671,,"BARTLETT, TN","Elementary, Secondary Education, K - 12","$12,422,740"
2672,,"KNOXVILLE, TN","Elementary, Secondary Education, K - 12","$229,337"
2673,,"HENDERSONVLLE, TN",Single Organization Support,"$115,770"
2674,,"DOVER, TN",Single Organization Support,
2675,,"SMYRNA, TN",Single Organization Support,"$77,480"
2676,,"SMYRNA, TN",Parent/Teacher Group,
2677,,"SPRINGFIELD, TN",Single Organization Support,
2678,,"DRESDEN, TN",Educational Services and Schools - Other,
2679,,"MEMPHIS, TN",Educational Services and Schools - Other,
2680,,"GALLATIN, TN","Adult, Continuing Education",
2681,,"KNOXVILLE, TN",Alumni Associations,
2682,,"COLLIERVILLE, TN",Education N.E.C.,
2683,,"PLEASANT VIEW, TN",Single Organization Support,
2684,,"PLEASANT VIEW, TN",Single Organization Support,
2685,,"NASHVILLE, TN",Educational Services and Schools - Other,"$24,121"
2686,,"RIPLEY, TN",Fund Raising and/or Fund Distribution,
2687,,"PARSONS, TN",Education N.E.C.,"$5,000,000"
2688,,"MEMPHIS, TN","Adult, Continuing Education","$1,939,069"
2689,,"FAIRVIEW, TN",Education N.E.C.,"$81,280"
2690,,"FRANKLIN, TN",Educational Services and Schools - Other,"$35,565"
2691,,"MEMPHIS, TN","Student Services, Organizations of Students",
2692,,"TELLICO PLNS, TN",Parent/Teacher Group,
2693,,"LOUDON, TN","Adult, Continuing Education",
2694,,"GREENEVILLE, TN","Scholarships, Student Financial Aid Services, Awards","$77,624"
2695,,"HERMITAGE, TN",Education N.E.C.,
2696,,"KNOXVILLE, TN","Professional Societies, Associations",
2697,,"CLARKSVILLE, TN","Professional Societies, Associations",
2698,,"CLARKSVILLE, TN",University or Technological Institute,
2699,,"KNOXVILLE, TN","Professional Societies, Associations","$43,232"
2700,,"SPRINGFIELD, TN","Adult, Continuing Education",
2701,,"SPARTA, TN","Professional Societies, Associations",
2702,,"MURFREESBORO, TN","Scholarships, Student Financial Aid Services, Awards","$67,047"
2703,,"NASHVILLE, TN","Adult, Continuing Education",
2704,,"NASHVILLE, TN",Educational Services and Schools - Other,
2705,,"NASHVILLE, TN","Scholarships, Student Financial Aid Services, Awards","$76,289"
2706,,"NASHVILLE, TN","Scholarships, Student Financial Aid Services, Awards","$885,125"
2707,,"NASHVILLE, TN","Scholarships, Student Financial Aid Services, Awards","$53,744"
2708,,"JACKSON, TN","Professional Societies, Associations",
2709,,"MURFREESBORO, TN","Professional Societies, Associations","$315,637"
2710,,"MILLEDGEVILLE, TN",Educational Services and Schools - Other,
2711,,"BENTON, TN",Educational Services and Schools - Other,
2712,,"NASHVILLE, TN","Student Services, Organizations of Students","$18,088,323"
2713,,"MURFREESBORO, TN","Adult, Continuing Education",
2714,,"NASHVILLE, TN",Education N.E.C.,"$52,564"
2715,,"NASHVILLE, TN","Scholarships, Student Financial Aid Services, Awards",
2716,,"LAFAYETTE, TN","Scholarships, Student Financial Aid Services, Awards",
2717,,"NASHVILLE, TN",Fund Raising and/or Fund Distribution,
2718,,"NASHVILLE, TN",Alliance/Advocacy Organizations,
2719,,"NASHVILLE, TN",Educational Services and Schools - Other,"$820,615"
2720,,"CHATTANOOGA, TN",Educational Services and Schools - Other,"$184,741"
2721,,"FRANKLIN, TN",Educational Services and Schools - Other,
2722,,"FRANKLIN, TN","Scholarships, Student Financial Aid Services, Awards",
2723,,"NOLENSVILLE, TN",Parent/Teacher Group,"$643,079"
2724,,"MEMPHIS, TN","Elementary, Secondary Education, K - 12 (B29)","$10,253,575"
2725,,"CLEVELAND, TN","Student Sororities, Fraternities","$553,411"
2726,,"THOMPSONS STATION, TN",Parent/Teacher Group,"$100,672"
2727,,"BRISTOL, TN",Fund Raising and/or Fund Distribution,
2728,,"KNOXVILLE, TN","Elementary, Secondary Education, K - 12",
2729,,"GALLATIN, TN","Scholarships, Student Financial Aid Services, Awards",
2730,,"ANTIOCH, TN",Educational Services and Schools - Other,
2731,,"BARTLETT, TN",Specialized Education Institutions,"$1,450,691"
2732,,"KNOXVILLE, TN","Primary, Elementary Schools",
2733,,"MCMINNVILLE, TN",Educational Services and Schools - Other,
2734,,"JACKSON, TN","Primary, Elementary Schools","$7,634,888"
2735,,"LEBANON, TN","Scholarships, Student Financial Aid Services, Awards",
2736,,"TULLAHOMA, TN",Single Organization Support,"$106,689"
2737,,"GREENEVILLE, TN",Undergraduate College (4-year),"$45,774,821"
2738,,"LEBANON, TN",Parent/Teacher Group,
2739,,"SMYRNA, TN",Nonmonetary Support N.E.C.,
2740,,"NASHVILLE, TN","Adult, Continuing Education","$73,742"
2741,,"UNION CITY, TN","Secondary, High School","$123,489"
2742,,"UNION CITY, TN",Fund Raising and/or Fund Distribution,"$39,345"
2743,,"UNION CITY, TN",Parent/Teacher Group,"$80,537"
2744,,"MAYNARDVILLE, TN",Education N.E.C.,
2745,,"CLEVELAND, TN",Parent/Teacher Group,
2746,,"POWELL, TN",Alumni Associations,
2747,,"NASHVILLE, TN","Scholarships, Student Financial Aid Services, Awards","$2,034,614"
2748,,"MEMPHIS, TN",Parent/Teacher Group,
2749,,"MEMPHIS, TN",Single Organization Support,"$55,956,820"
2750,,"NASHVILLE, TN","Secondary, High School","$36,829,322"
2751,,"COOKEVILLE, TN",Alliance/Advocacy Organizations,
2752,,"KNOXVILLE, TN","Student Services, Organizations of Students",
2753,,"NASHVILLE, TN",University or Technological Institute,
2754,,"VANLEER, TN","Scholarships, Student Financial Aid Services, Awards",
2755,,"CHATTANOOGA, TN","Vocational, Technical Schools",
2756,,"KNOXVILLE, TN",Educational Services and Schools - Other,
2757,,"NASHVILLE, TN",Education N.E.C.,
2758,,"MEMPHIS, TN",Specialized Education Institutions,"$5,534,233"
2759,,"KNOXVILLE, TN",Fund Raising and/or Fund Distribution,
2760,,"NASHVILLE, TN",Parent/Teacher Group,
2761,,"MEMPHIS, TN","Elementary, Secondary Education, K - 12 (B29)","$7,339,393"
2762,,"HUNTINGDON, TN","Scholarships, Student Financial Aid Services, Awards",
2763,,"HENDERSONVLLE, TN",Single Organization Support,
2764,,"CHATTANOOGA, TN",Educational Services and Schools - Other,
2765,,"MCMINNVILLE, TN",Single Organization Support,"$68,277"
2766,,"JONESBOROUGH, TN",Single Organization Support,"$80,826"
2767,,"CLEVELAND, TN",Parent/Teacher Group,
2768,,"NASHVILLE, TN",Community or Junior Colleges,"$5,826,435"
2769,,"GALLATIN, TN",Undergraduate College (4-year),"$11,542,139"
2770,,"ALCOA, TN","Scholarships, Student Financial Aid Services, Awards",
2771,,"FRANKLIN, TN",Parent/Teacher Group,
2772,,"UNION CITY, TN","Professional Societies, Associations",
2773,,"KNOXVILLE, TN",Fund Raising and/or Fund Distribution,
2774,,"WESTMORELAND, TN",Parent/Teacher Group,
2775,,"WESTMORELAND, TN",Educational Services and Schools - Other,
2776,,"SPARTA, TN",Single Organization Support,
2777,,"WHITWELL, TN",Single Organization Support,
2778,,"FRANKLIN, TN","Scholarships, Student Financial Aid Services, Awards","$95,682"
2779,,"FRANKLIN, TN",Education N.E.C.,
2780,,"SPRINGFIELD, TN",Specialized Education Institutions,"$315,814"
2781,,"MOUNT JULIET, TN",Single Organization Support,
2782,,"LEBANON, TN",Educational Services and Schools - Other,"$253,371"
2783,,"ANTIOCH, TN","Elementary, Secondary Education, K - 12",
2784,,"CHATTANOOGA, TN","Scholarships, Student Financial Aid Services, Awards",
2785,,"NASHVILLE, TN",Alliance/Advocacy Organizations,
2786,,"MARYVILLE, TN",Single Organization Support,"$1,186"
2787,,"SPARTA, TN",Parent/Teacher Group,
2788,,"CLEVELAND, TN","Kindergarten, Preschool, Nursery School, Early Admissions","$329,063"
2789,,"CHATTANOOGA, TN",Educational Services and Schools - Other,
2790,,"MADISON, TN",Educational Services and Schools - Other,
2791,,"CORDOVA, TN","Student Services, Organizations of Students","$3,284"
2792,,"MARYVILLE, TN",Alumni Associations,
2793,,"CLARKSVILLE, TN","Scholarships, Student Financial Aid Services, Awards",
2794,,"KNOXVILLE, TN",Educational Services and Schools - Other,
2795,,"CHATTANOOGA, TN","Scholarships, Student Financial Aid Services, Awards",
2796,,"NASHVILLE, TN","Kindergarten, Preschool, Nursery School, Early Admissions","$2,276,262"
2797,,"CLARKSVILLE, TN",Specialized Education Institutions,"$124,501"
2798,,"MEMPHIS, TN",Educational Services and Schools - Other,
2799,,"NASHVILLE, TN","Student Services, Organizations of Students",
2800,,"MEMPHIS, TN","Scholarships, Student Financial Aid Services, Awards","$2,601,360"
2801,,"SPRING HILL, TN","Scholarships, Student Financial Aid Services, Awards","$521,864"
2802,,"CLARKSVILLE, TN",Educational Services and Schools - Other,
2803,,"ALCOA, TN",Parent/Teacher Group,
2804,,"MEMPHIS, TN",Alumni Associations,
2805,,"COOKEVILLE, TN",Parent/Teacher Group,
2806,,"TAZEWELL, TN","Professional Societies, Associations",
2807,,"KNOXVILLE, TN","Scholarships, Student Financial Aid Services, Awards","$13,241"
2808,,"KNOXVILLE, TN","Scholarships, Student Financial Aid Services, Awards",
2809,,"KNOXVILLE, TN","Student Sororities, Fraternities",
2810,,"BRENTWOOD, TN",Education N.E.C.,
2811,,"BRISTOL, TN","Student Sororities, Fraternities",
2812,,"CLARKSVILLE, TN","Remedial Reading, Reading Encouragement",
2813,,"SEVIERVILLE, TN","Scholarships, Student Financial Aid Services, Awards",
2814,,"ARLINGTON, TN",Parent/Teacher Group,
2815,,"GREENEVILLE, TN",Educational Services and Schools - Other,
2816,,"GATLINBURG, TN",Libraries,"$282,871"
2817,,"JOHNSON CITY, TN","Professional Societies, Associations",
2818,,"JOHNSON CITY, TN",Specialized Education Institutions,"$52,274"
2819,,"NASHVILLE, TN",Educational Services and Schools - Other,"$13,382"
2820,,"NASHVILLE, TN",Educational Services and Schools - Other,
2821,,"MEMPHIS, TN","Remedial Reading, Reading Encouragement","$462,773"
2822,,"ARLINGTON, TN",Single Organization Support,"$36,459"
2823,,"MEMPHIS, TN",Education N.E.C.,"$1,349,163"
2824,,"KINGSPORT, TN","Adult, Continuing Education",
2825,,"MEMPHIS, TN","Professional Societies, Associations","$5,500"
2826,,"PARIS, TN","Scholarships, Student Financial Aid Services, Awards",
2827,,"MEMPHIS, TN","Adult, Continuing Education",
2828,,"JACKSON, TN","Elementary, Secondary Education, K - 12","$1,571,946"
2829,,"CLARKSVILLE, TN",University or Technological Institute,"$25,787,148"
2830,,"COOKEVILLE, TN",Parent/Teacher Group,
2831,,"COOKEVILLE, TN",Parent/Teacher Group,
2832,,"JOHNSON CITY, TN",Fund Raising and/or Fund Distribution,
2833,,"GALLATIN, TN",Alliance/Advocacy Organizations,
2834,,"MEMPHIS, TN",Educational Services and Schools - Other,"$6,000"
2835,,"CORDOVA, TN",Single Organization Support,
2836,,"MEMPHIS, TN","Graduate, Professional Schools (Separate Entities)","$20,446,298"
2837,,"COLLIERVILLE, TN","Adult, Continuing Education",
2838,,"KNOXVILLE, TN",Single Organization Support,"$138,493"
2839,,"KNOXVILLE, TN",Educational Services and Schools - Other,
2840,,"GOODLETTSVLLE, TN",Single Organization Support,"$97,588"
2841,,"NASHVILLE, TN","Scholarships, Student Financial Aid Services, Awards",
2842,,"NASHVILLE, TN",University or Technological Institute,"$464,356,154"
2843,,"NASHVILLE, TN","Scholarships, Student Financial Aid Services, Awards",
2844,,"NASHVILLE, TN",Specialized Education Institutions,"$1,132,629"
2845,,"KNOXVILLE, TN","Student Sororities, Fraternities",$370
2846,,"THOMPSONS STN, TN",Parent/Teacher Group,"$35,067"
2847,,"CORDOVA, TN",Alliance/Advocacy Organizations,
2848,,"ERWIN, TN",Single Organization Support,
2849,,"GERMANTOWN, TN",Specialized Education Institutions,"$3,352,667"
2850,,"HENDERSONVLLE, TN","Remedial Reading, Reading Encouragement",
2851,,"MEMPHIS, TN","Scholarships, Student Financial Aid Services, Awards",
2852,,"MEMPHIS, TN",Educational Services and Schools - Other,"$105,225"
2853,,"BRENTWOOD, TN","Scholarships, Student Financial Aid Services, Awards",
2854,,"BRENTWOOD, TN","Primary, Elementary Schools","$25,930,047"
2855,,"BRENTWOOD, TN","Student Services, Organizations of Students","$86,888"
2856,,"COLUMBIA, TN","Student Services, Organizations of Students","$131,584"
2857,,"CHATTANOOGA, TN","Kindergarten, Preschool, Nursery School, Early Admissions","$7,512,519"
2858,,"BRIGHTON, TN",Parent/Teacher Group,
2859,,"BRIGHTON, TN",Single Organization Support,
2860,,"MEMPHIS, TN","Primary, Elementary Schools","$835,220"
2861,,"WINCHESTER, TN",Parent/Teacher Group,
2862,,"JOHNSON CITY, TN",Specialized Education Institutions,"$337,981"
2863,,"HARRISON, TN",Parent/Teacher Group,
2864,,"BRUCETON, TN",Parent/Teacher Group,
2865,,"MURFREESBORO, TN",Parent/Teacher Group,
2866,,"BRENTWOOD, TN",Education N.E.C.,
2867,,"COLUMBIA, TN",Alliance/Advocacy Organizations,"$68,403"
2868,,"MEMPHIS, TN","Scholarships, Student Financial Aid Services, Awards",
2869,,"CLARKSVILLE, TN","Scholarships, Student Financial Aid Services, Awards",
2870,,"COLLIERVILLE, TN",Management & Technical Assistance,
2871,,"ANTIOCH, TN",Alumni Associations,
2872,,"LAFOLLETTE, TN","Scholarships, Student Financial Aid Services, Awards",
2873,,"KNOXVILLE, TN","Scholarships, Student Financial Aid Services, Awards",
2874,,"KNOXVILLE, TN","Scholarships, Student Financial Aid Services, Awards",
2875,,"MEMPHIS, TN",Educational Services and Schools - Other,"$562,915"
2876,,"KNOXVILLE, TN",Parent/Teacher Group,
2877,,"STRAW PLAINS, TN",Fund Raising and/or Fund Distribution,
2878,,"MASCOT, TN",Single Organization Support,
2879,,"KNOXVILLE, TN",Single Organization Support,
2880,,"BELL BUCKLE, TN",Single Organization Support,
2881,,"MEMPHIS, TN",Alumni Associations,
2882,,"CHRISTIANA, TN","Elementary, Secondary Education, K - 12","$276,261"
2883,,"FRANKLIN, TN",Single Organization Support,"$86,641"
2884,,"KNOXVILLE, TN",Educational Services and Schools - Other,
2885,,"MEMPHIS, TN",Educational Services and Schools - Other,
2886,,"BARTLETT, TN","Adult, Continuing Education","$48,193"
2887,,"KNOXVILLE, TN",Parent/Teacher Group,
2888,,"ALCOA, TN","Scholarships, Student Financial Aid Services, Awards",
2889,,"MURFREESBORO, TN","Student Services, Organizations of Students",
2890,,"CHATTANOOGA, TN",Educational Services and Schools - Other,
2891,,"CHATTANOOGA, TN","Elementary, Secondary Education, K - 12 (B29)","$3,267,074"
2892,,"CHATTANOOGA, TN",Educational Services and Schools - Other,
2893,,"CHATTANOOGA, TN","Vocational, Technical Schools","$23,000"
2894,,"CHATTANOOGA, TN","Adult, Continuing Education",
2895,,"ASHLAND CITY, TN",Libraries,
2896,,"FRANKLIN, TN","Secondary, High School",
2897,,"MEMPHIS, TN","Kindergarten, Preschool, Nursery School, Early Admissions","$1,207,702"
2898,,"BRENTWOOD, TN","Elementary, Secondary Education, K - 12",
2899,,"DYERSBURG, TN","Secondary, High School",
2900,,"DYERSBURG, TN","Scholarships, Student Financial Aid Services, Awards",
2901,,"ROGERSVILLE, TN",Fund Raising and/or Fund Distribution,
2902,,"ETOWAH, TN",Single Organization Support,
2903,,"MEMPHIS, TN","Elementary, Secondary Education, K - 12 (B29)","$3,238,476"
2904,,"SWEETWATER, TN",Parent/Teacher Group,
2905,,"CLARKSVILLE, TN",Single Organization Support,
2906,,"KNOXVILLE, TN","Student Services, Organizations of Students",
2907,,"FRANKLIN, TN",Parent/Teacher Group,"$158,359"
2908,,"NEWPORT, TN",Educational Services and Schools - Other,
2909,,"MEMPHIS, TN",Educational Services and Schools - Other,"$2,033,480"
2910,,"ASHLAND CITY, TN",Education N.E.C.,
2911,,"ANTIOCH, TN",Parent/Teacher Group,
2912,,"JACKSON, TN","Elementary, Secondary Education, K - 12","$624,470"
2913,,"KNOXVILLE, TN","Professional Societies, Associations",
2914,,"KNOXVILLE, TN","Professional Societies, Associations",
2915,,"KNOXVILLE, TN","Professional Societies, Associations",
2916,,"KNOXVILLE, TN","Professional Societies, Associations",
2917,,"KNOXVILLE, TN","Professional Societies, Associations",
2918,,"KNOXVILLE, TN","Professional Societies, Associations",
2919,,"MEMPHIS, TN","Secondary, High School","$7,261,001"
2920,,"MEMPHIS, TN",Educational Services and Schools - Other,"$5,270,507"
2921,,"NASHVILLE, TN",Educational Services and Schools - Other,"$5,087,341"
2922,,"JACKSON, TN",Single Organization Support,"$16,258"
2923,,"COOKEVILLE, TN",Educational Services and Schools - Other,
2924,,"COOKEVILLE, TN",Single Organization Support,"$175,932"
2925,,"DUCKTOWN, TN","Scholarships, Student Financial Aid Services, Awards",
2926,,"COPPERHILL, TN",Parent/Teacher Group,"$52,737"
2927,,"NASHVILLE, TN",Education N.E.C.,
2928,,"MEMPHIS, TN",Parent/Teacher Group,
2929,,"NASHVILLE, TN",Educational Services and Schools - Other,
2930,,"NASHVILLE, TN",Educational Services and Schools - Other,
2931,,"COWAN, TN",Educational Services and Schools - Other,
2932,,"OOLTEWAH, TN",Alliance/Advocacy Organizations,
2933,,"DICKSON, TN",Parent/Teacher Group,
2934,,"NASHVILLE, TN",Parent/Teacher Group,
2935,,"HENDERSONVLLE, TN","Scholarships, Student Financial Aid Services, Awards","$115,520"
2936,,"OAK RIDGE, TN",Fund Raising and/or Fund Distribution,
2937,,"KNOXVILLE, TN",Educational Services and Schools - Other,"$67,073"
2938,,"ELIZABETHTON, TN","Elementary, Secondary Education, K - 12",
2939,,"MEMPHIS, TN","Kindergarten, Preschool, Nursery School, Early Admissions","$145,467"
2940,,"NASHVILLE, TN","Elementary, Secondary Education, K - 12","$10,024,003"
2941,,"NASHVILLE, TN",Education N.E.C.,
2942,,"NASHVILLE, TN","Adult, Continuing Education","$196,309"
2943,,"CHATTANOOGA, TN","Scholarships, Student Financial Aid Services, Awards",
2944,,"CLEVELAND, TN","Student Sororities, Fraternities","$432,614"
2945,,"DICKSON, TN","Scholarships, Student Financial Aid Services, Awards",
2946,,"COLUMBIA, TN",Single Organization Support,
2947,,"MURFREESBORO, TN",Fund Raising and/or Fund Distribution,
2948,,"ANTIOCH, TN","Secondary, High School",
2949,,"COOKEVILLE, TN",Parent/Teacher Group,
2950,,"GERMANTOWN, TN",Parent/Teacher Group,"$53,785"
2951,,"GERMANTOWN, TN",Single Organization Support,
2952,,"OLD HICKORY, TN",Education N.E.C.,
2953,,"COOKEVILLE, TN","Scholarships, Student Financial Aid Services, Awards",
2954,,"MEMPHIS, TN","Scholarships, Student Financial Aid Services, Awards",
2955,,"MORRISTOWN, TN","Elementary, Secondary Education, K - 12 (B22Z)","$28,197,437"
2956,,"DICKSON, TN","Elementary, Secondary Education, K - 12",
2957,,"MEMPHIS, TN",Educational Services and Schools - Other,
2958,,"DRESDEN, TN",Parent/Teacher Group,
2959,,"DYERSBURG, TN",Libraries,"$170,794"
2960,,"JEFFERSON CITY, TN",Single Organization Support,"$705,540"
2961,,"NASHVILLE, TN",Parent/Teacher Group,"$97,978"
2962,,"CLARKSVILLE, TN",Parent/Teacher Group,
2963,,"NASHVILLE, TN","Remedial Reading, Reading Encouragement","$203,151"
2964,,"MADISON, TN","Scholarships, Student Financial Aid Services, Awards",
2965,,"KINGSPORT, TN","Scholarships, Student Financial Aid Services, Awards",
2966,,"JOHNSON CITY, TN",Research Institutes and/or Public Policy Analysis,"$217,607"
2967,,"MADISON, TN","Elementary, Secondary Education, K - 12","$642,668"
2968,,"MEMPHIS, TN",Educational Services and Schools - Other,
2969,,"KNOXVILLE, TN",Educational Services and Schools - Other,
2970,,"ELIZABETHTON, TN",Alumni Associations,
2971,,"BARTLETT, TN",Parent/Teacher Group,
2972,,"JOHNSON CITY, TN",Undergraduate College (4-year),
2973,,"MEMPHIS, TN",Educational Services and Schools - Other,
2974,,"COLUMBIA, TN",Single Organization Support,
2975,,"NASHVILLE, TN",Education N.E.C.,
2976,,"NASHVILLE, TN","Primary, Elementary Schools","$48,026,266"
2977,,"CHATTANOOGA, TN","Scholarships, Student Financial Aid Services, Awards",
2978,,"KNOXVILLE, TN",Educational Services and Schools - Other,
2979,,"CLARKSVILLE, TN",Education N.E.C.,
2980,,"CROSSVILLE, TN","Scholarships, Student Financial Aid Services, Awards",
2981,,"BARTLETT, TN",Specialized Education Institutions,"$238,124"
2982,,"FAYETTEVILLE, TN","Secondary, High School",
2983,,"GERMANTOWN, TN",Fund Raising and/or Fund Distribution,
2984,,"UNION CITY, TN","Scholarships, Student Financial Aid Services, Awards","$55,044"
2985,,"FARRAGUT, TN","Secondary, High School","$68,609"
2986,,"SOMERVILLE, TN","Elementary, Secondary Education, K - 12","$5,865,591"
2987,,"MEMPHIS, TN",Alliance/Advocacy Organizations,
2988,,"NASHVILLE, TN",Specialized Education Institutions,"$3,009,347"
2989,,"NASHVILLE, TN",Nonmonetary Support N.E.C.,
2990,,"NASHVILLE, TN",Alumni Associations,
2991,,"MEMPHIS, TN",Alliance/Advocacy Organizations,
2992,,"NASHVILLE, TN",Fund Raising and/or Fund Distribution,"$1,525,890"
2993,,"GERMANTOWN, TN",Single Organization Support,"$35,886"
2994,,"WINCHESTER, TN",Educational Services and Schools - Other,
2995,,"MCMINNVILLE, TN",Fund Raising and/or Fund Distribution,"$85,974"
2996,,"NASHVILLE, TN","Scholarships, Student Financial Aid Services, Awards","$40,000"
2997,,"FRANKLIN, TN","Primary, Elementary Schools","$4,584,885"
2998,,"WINCHESTER, TN",Libraries,
2999,,"WINCHESTER, TN",Parent/Teacher Group,
3000,,"FRANKLIN, TN",Single Organization Support,"$312,438"
3001,,"FRANKLIN, TN",Education N.E.C.,"$320,513"
3002,,"HENDERSON, TN",Undergraduate College (4-year),"$74,019,321"
3003,,"COLLIERVILLE, TN",Single Organization Support,
3004,,"KINGSPORT, TN",Libraries,
3005,,"ALAMO, TN",Libraries,
3006,,"EAGLEVILLE, TN",Libraries,
3007,,"SIGNAL MTN, TN",Libraries (B71I),
3008,,"BLOUNTVILLE, TN",Libraries,
3009,,"MEMPHIS, TN",Educational Services and Schools - Other,
3010,,"NASHVILLE, TN",Single Organization Support,"$71,347"
3011,,"ALCOA, TN","Primary, Elementary Schools","$332,455"
3012,,"MORRISTOWN, TN",Single Organization Support,
3013,,"LEXINGTON, TN",Single Organization Support,
3014,,"SEYMOUR, TN",Single Organization Support,
3015,,"LOUDON, TN",Single Organization Support,"$283,461"
3016,,"FRIENDSVILLE, TN",Parent/Teacher Group,
3017,,"CHATTANOOGA, TN",Education N.E.C.,
3018,,"MT JULIET, TN",Educational Services and Schools - Other,"$89,872"
3019,,"HENDERSONVLLE, TN",Parent/Teacher Group,
3020,,"FRANKLIN, TN","Student Services, Organizations of Students","$858,833"
3021,,"COLLIERVILLE, TN",Education N.E.C.,
3022,,"GERMANTOWN, TN",Parent/Teacher Group,"$142,684"
3023,,"GERMANTOWN, TN",Parent/Teacher Group,
3024,,"MEMPHIS, TN","Elementary, Secondary Education, K - 12 (B29)","$33,072,051"
3025,,"MILAN, TN","Student Services, Organizations of Students",
3026,,"LEBANON, TN","Scholarships, Student Financial Aid Services, Awards",
3027,,"NASHVILLE, TN",Educational Services and Schools - Other,
3028,,"CHATTANOOGA, TN","Elementary, Secondary Education, K - 12","$20,905,031"
3029,,"KNOXVILLE, TN","Kindergarten, Preschool, Nursery School, Early Admissions","$320,272"
3030,,"FRANKLIN, TN","Adult, Continuing Education","$67,981"
3031,,"CHATTANOOGA, TN",Single Organization Support,"$255,543"
3032,,"CLARKSVILLE, TN","Scholarships, Student Financial Aid Services, Awards",
3033,,"FRANKLIN, TN","Primary, Elementary Schools","$28,218"
3034,,"KNOXVILLE, TN",Single Organization Support,"$5,293,882"
3035,,"MOUNT JULIET, TN",Single Organization Support,
3036,,"DUNLAP, TN",Single Organization Support,
3037,,"WHITE HOUSE, TN","Kindergarten, Preschool, Nursery School, Early Admissions","$510,087"
3038,,"LEBANON, TN","Primary, Elementary Schools","$31,116"
3039,,"NASHVILLE, TN",Parent/Teacher Group,
3040,,"KINGSPORT, TN",Education N.E.C.,
3041,,"KNOXVILLE, TN",Alumni Associations,"$1,750"
3042,,"KNOXVILLE, TN",Single Organization Support,"$95,885"
3043,,"KNOXVILLE, TN",Parent/Teacher Group,
3044,,"CHATTANOOGA, TN",Fund Raising and/or Fund Distribution,"$512,171"
3045,,"CORDOVA, TN","Scholarships, Student Financial Aid Services, Awards",
3046,,"JOHNSON CITY, TN",Parent/Teacher Group,
3047,,"NASHVILLE, TN",Single Organization Support,"$43,723"
3048,,"KINGSTON SPGS, TN",Single Organization Support,
3049,,"CHATTANOOGA, TN","Scholarships, Student Financial Aid Services, Awards",
3050,,"NASHVILLE, TN",Alumni Associations,
3051,,"NASHVILLE, TN",Parent/Teacher Group,
3052,,"NASHVILLE, TN","Professional Societies, Associations","$434,522"
3053,,"TOWNSEND, TN","Scholarships, Student Financial Aid Services, Awards","$75,209"
3054,,"HENDERSONVLLE, TN",Single Organization Support,
3055,,"MONTEREY, TN","Secondary, High School",
3056,,"HALLS, TN",Fund Raising and/or Fund Distribution,"$189,109"
3057,,"TULLAHOMA, TN",Parent/Teacher Group,
3058,,"CHATTANOOGA, TN","Primary, Elementary Schools",
3059,,"HOHENWALD, TN","Scholarships, Student Financial Aid Services, Awards","$64,680"
3060,,"MICHIE, TN","Scholarships, Student Financial Aid Services, Awards",
3061,,"HIXSON, TN",Parent/Teacher Group,
3062,,"BRUCETON, TN",Parent/Teacher Group,
3063,,"NASHVILLE, TN","Student Services, Organizations of Students",
3064,,"COOKEVILLE, TN",Educational Services and Schools - Other,
3065,,"LA VERGNE, TN",Fund Raising and/or Fund Distribution,
3066,,"GERMANTOWN, TN",Single Organization Support,"$113,875"
3067,,"GERMANTOWN, TN",Parent/Teacher Group,
3068,,"CHATTANOOGA, TN",Educational Services and Schools - Other,
3069,,"MEMPHIS, TN",Single Organization Support,
3070,,"MEMPHIS, TN",Alliance/Advocacy Organizations,
3071,,"MEMPHIS, TN",Parent/Teacher Group,"$56,597"
3072,,"NASHVILLE, TN","Student Services, Organizations of Students",
3073,,"KINGSPORT, TN",Single Organization Support,
