name,address,city,zipcode,classification_codes,tax_period,asset_amount,income_amount,revenue_amount,ntee_code
FRANKLIN COUNTY SCHOOLS PARENT ORGANIZATION INCORPORATED,220 N JEFFERSON ST,WINCHESTER,37398-1414,2000,12/1/22,0,0,0,B94
FRANKLIN HIGH SCHOOL BAND BOOSTERS INC,PO BOX 1371,FRANKLIN,37065-1371,2000,6/1/22,85084,437825,312438,B112
FRANKLIN TOMORROW INC,198 E MAIN ST - STE 205,FRANKLIN,37064-2569,1000,12/1/21,193342,340584,320513,B99
FREED-HARDEMAN UNIVERSITY,158 E MAIN ST,HENDERSON,38340-2306,2000,5/1/22,179769242,84103427,74019321,B420
FRIENDS OF COLLIERVILLE BURCH LIBRARY,501 POPLAR VIEW PKWY,COLLIERVILLE,38017-3441,1200,12/1/22,0,0,0,B117
FRIENDS OF COLONIAL HEIGHTS BRANCH OF THE SULLIVAN COUNTY LIBRARY INC,149 PACTOLUS RD,KINGSPORT,37663-3057,1000,12/1/22,0,0,0,B70
FRIENDS OF CROCKETT MEMORIAL LIBRARY INC,261 E CHURCH ST,ALAMO,38001-1106,1000,6/1/21,0,0,0,B70
FRIENDS OF EAGLEVILLE BICENTENNIAL PUBLIC LIBRARY,317 OLD HIGHWAY 99,EAGLEVILLE,37060-4735,2000,12/1/20,0,0,0,B70
FRIENDS OF SIGNAL MOUNTAIN LIBRARY INC,1114 JAMES BLVD,SIGNAL MTN,37377-2509,1000,9/1/22,0,0,0,B71I
FRIENDS OF SULLIVAN COUNTY PUBLIC LIBRARIES,1655 BLOUNTVILLE BLVD,BLOUNTVILLE,37617-4709,1238,,,,,B70
FRIENDS OF T O FULLER STATE PARK,1500 W MITCHELL RD,MEMPHIS,38109-3021,1000,6/1/20,0,0,0,B90
FRIENDS OF TENNESSEE SCHOOL FOR THE BLIND,113 FAIRWAY DR,NASHVILLE,37214-2132,1000,9/1/22,0,71347,71347,B110
FRIENDS OF TENNESSEES BABIES WITH SPECIAL NEEDS,PO BOX 544,ALCOA,37701-0544,1000,12/1/22,868859,360724,332455,B24
FRIENDS OF THE MORRISTOWN-HAMBLEN PUBLIC LIBRARY FOUNDATION,417 W MAIN ST,MORRISTOWN,37814-4615,1200,12/1/22,0,0,0,B11
FRIENDS OF THE PIN OAK SCHOOL,19925 HIGHWAY 412 E,LEXINGTON,38351-8607,2100,9/1/18,0,0,0,B11
FRIENDS OF THE SEYMOUR BRANCH LIBRARY,PO BOX 1253,SEYMOUR,37865-1253,2100,1/1/23,0,0,0,B11
FRIENDS OF THE TELLICO VILLAGE LIBRARY INC,300 IRENE LN,LOUDON,37774-4164,2000,12/1/22,1764016,283461,283461,B117
FRIENDSVILLE BOOSTER CLUB,210 E 4TH AVE,FRIENDSVILLE,37737-2743,2000,6/1/22,0,0,0,B94
FUNDACION LIBRO MAGICO,7961 BURGUNDY CIR,CHATTANOOGA,37421-1288,2000,12/1/22,0,0,0,B99
FUTURO INC,2005 WINTERGREEN WAY,MT JULIET,37122-3954,1200,6/1/22,45420,99356,89872,B90
GENE BROWN ELEMENTARY PTO,174 IMPERIAL BLVD,HENDERSONVLLE,37075-3440,2000,6/1/22,0,0,0,B94
GENTRYS EDUCATION CENTER AT THE STORE FRONT INC,4221 WARREN RD,FRANKLIN,37067-4044,1000,12/1/22,229781,858833,858833,B80
GERMANTOWN ARLINGTON LAKELAND EDUCATION ASSOCIATION,1443 HOWLING DR,COLLIERVILLE,38017-6867,2000,6/1/22,0,0,0,B99
GERMANTOWN HIGH SCHOOL BAND BOOSTERS,PO BOX 38864,GERMANTOWN,38183-0864,2100,6/1/18,99499,142684,142684,B94
GERMANTOWN MUNICIPAL COUNCIL PTO,3350 FOREST HILL IRENE RD,GERMANTOWN,38138-8613,1000,6/1/22,0,0,0,B94
GESTALT COMMUNITY SCHOOLS,2650 THOUSAND OAKS BLVD STE 2370,MEMPHIS,38118-2450,1000,6/1/22,56229305,33727695,33072051,B29
GIBSON COUNTY TRAINING SCHOOL POLK-CLARK HIGH SCHOOL ALUMNI ASSN,1040 S HARRIS STREET,MILAN,38358-0000,1000,8/1/22,0,0,0,B80
GINA PUTMAN FOUNDATION INC,1131 ROGERS LN,LEBANON,37087-6303,2000,12/1/22,0,0,0,B82
GIRLS IN TECH NASHVILLE INC,PO BOX 23522,NASHVILLE,37202-3522,1200,,,,,B90
GIRLS PREPARATORY SCHOOL INC,205 ISLAND AVE,CHATTANOOGA,37405-4217,1000,6/1/22,62392596,33772478,20905031,B200
GIVING TREE MONTESSORI,7728 NUBBIN RIDGE DR,KNOXVILLE,37919-8044,2000,12/1/22,92793,320272,320272,B21Z
GOOD NEIGHBOR FOUNDATION,129 W FOWLKES ST STE 129,FRANKLIN,37064-3571,2000,12/1/21,28962,67981,67981,B60
GORDON LEE CHARITABLE TR,701 MARKET STREET STR320,CHATTANOOGA,37402-4828,2000,12/1/22,3847022,1020011,255543,B11
GRAND ENCAMPMENT OF KT PHA CROWN & CROSS CHARITY & SCHLRSHP FDN INC,117 JACQUELINE CT,CLARKSVILLE,37042-4251,2000,5/1/22,0,0,0,B82
GRASSLAND MIDDLE SCHOOL PARENTS CLUB INC,2390 HILLSBORO RD,FRANKLIN,37069-6232,1000,6/1/21,23907,43438,28218,B24I
GREAT SCHOOLS PARTNERSHIP CHARITALBE TR,912 S GAY ST STE L210,KNOXVILLE,37902-1837,1000,6/1/19,2118838,5293882,5293882,B112
GREEN HILL BASEBALL BOOSTER CLUB,220 N GREENHILL RD,MOUNT JULIET,37122-2670,2000,12/1/22,0,0,0,B11
GRIFFITH ELEMENTARY SCHOOL PARENTS- TEACHERS ORGANIZATION,173 JONES DR,DUNLAP,37327-3532,1000,6/1/22,0,0,0,B11
GROWING TREE INC,PO BOX 295,WHITE HOUSE,37188-0295,2000,12/1/21,267675,510087,510087,B21
GWENDOLYN MCFARLAND TRUST,5400 COLES FERRY PIKE,LEBANON,37087-9407,1000,5/1/22,883916,31116,31116,B24I
H G HILL PANTHER PTO,150 DAVIDSON RD,NASHVILLE,37205-2704,2000,5/1/19,0,0,0,B94
H O P E - HELP OUR POTENTIAL EVOLVE - INC,PO BOX 7632,KINGSPORT,37664-7632,1000,12/1/19,0,0,0,B99
HALLS ALUMNI ASSOCIATION INC,PO BOX 70654,KNOXVILLE,37938-0654,2000,12/1/21,4107,1750,1750,B84
HALLS BAND BOOSTERS INC,PO BOX 71002,KNOXVILLE,37938-1019,1200,5/1/20,75318,113623,95885,B11
HALLS ELEMENTARY SCHOOL PARENT TEACHER ORGANIZATION,7502 ANDERSONVILLE PIKE,KNOXVILLE,37938-4203,1200,12/1/21,0,0,0,B94
HAMILTON COUNTY SCHOOLS FOUNDATION,3074 HICKORY VALLEY ROAD,CHATTANOOGA,37421-1273,1200,6/1/22,147184,512171,512171,B12
HANNAHS ENRICHMENT PROGRAM,490 GLEN ARBOR CIR APT 101,CORDOVA,38018-6773,1000,12/1/19,0,0,0,B82
HAPPY VALLEY ELEMENTARY PTO,1840 MILLIGAN HWY,JOHNSON CITY,37601-7124,1200,,,,,B94
HARPETH VALLEY P T O,7840 LEARNING LN,NASHVILLE,37221-4179,1200,5/1/22,68281,43723,43723,B11
HARPETH VOLLEYBALL CLUB,PO BOX 155,KINGSTON SPGS,37082-0155,1000,12/1/22,0,0,0,B11
HARRISON RURITAN FOUNDATION INC,6459 SOLITUDE DR,CHATTANOOGA,37416-1471,1000,12/1/22,0,0,0,B82
HARVARD CLUB OF MIDDLE TENNESSEE INC,2701 BRIGHTWOOD AVE,NASHVILLE,37212-5818,2000,5/1/22,0,0,0,B84
HAYWOOD PTO,3790 TURLEY DR,NASHVILLE,37211-4964,1200,5/1/21,0,0,0,B94
HEADS NETWORK INC,102 WENTWORTH AVE,NASHVILLE,37215-2230,1200,6/1/22,549630,475921,434522,B03
HEARTS & HANDS SCHOLARSHIP FUND,PO BOX 334,TOWNSEND,37882-0334,1000,12/1/22,241284,75209,75209,B82
HENDERSONVILLE HIGH SCHOOL MARINE CORPS JUNIOR RESERVE OFFICER TRAIN,123 CHEROKEE RD,HENDERSONVLLE,37075-3701,1000,12/1/22,0,0,0,B11
HERITAGE ACADEMY INC,23100 CLARKRANGE HWY,MONTEREY,38574-3808,2700,,,,,B25Z
HHS FOUNDATION PROGRAM,986 POPLAR GROVE RD,HALLS,38040-7618,1200,6/1/22,1050546,201556,189109,B12
HICKERSON ELEMENTARY SCHOOL PARENT TEACHER ORGANIZATION,5017 OLD MANCHESTER HWY,TULLAHOMA,37388-7631,2000,5/1/21,0,0,0,B94
HICKORY VALLEY CHRISTIAN SCHOOL INC,6605 SHALLOWFORD RD,CHATTANOOGA,37421-6764,2700,,,,,B24
HIGH FOREST INSTITUTE,PO BOX 682,HOHENWALD,38462-0682,1000,12/1/19,60009,64680,64680,B82
HILLSIDE NEW BEGINNINGS,3545 DAMON RAOD,MICHIE,38357-0000,2000,12/1/16,0,0,0,B82
HIXSON MIDDLE SCHOOL PTO,5681 OLD HIXSON PIKE,HIXSON,37343-3250,2000,7/1/22,0,0,0,B94
HOLLOW ROCK BRUCETON CENTRAL ELEMENTARY PTO,29590 BROAD ST,BRUCETON,38317-2200,1000,12/1/19,0,0,0,B94
HOME OF POTENTIAL AND EXCELLENCE INC,2996 A WINDEMERE CIR,NASHVILLE,37214-1648,1200,12/1/22,0,0,0,B80
HONOR SOCIETY OF DELTA TAU ALPHA,TTU BOX 5034,COOKEVILLE,38505-0001,2000,4/1/21,0,0,0,B90
HORTON FAMILY EDUCATIONAL FOUNDATION,191 LYNDHURST DR,LA VERGNE,37086-3576,1000,6/1/22,0,0,0,B12
HOUSTON HIGH SCHOOL CHEERBOOSTERS,9755 WOLF RIVER BLVD,GERMANTOWN,38139-5557,1200,3/1/22,3141,119246,113875,B11
HOUSTON MIDDLE SCHOOL PTO,9400 WOLF RIVER BLVD,GERMANTOWN,38139-3574,1200,6/1/22,0,0,0,B94
HUMAN FUND,800 MARKET ST STE 201,CHATTANOOGA,37402-2677,1200,12/1/21,188,0,0,B90
I AM DAIBETES AWARENESS,3642 HENDRICKS AVE,MEMPHIS,38111-0000,1000,,,,,B11
I AM SOMEBODY 901,1088 WHITEHAVEN LN,MEMPHIS,38116-7744,1200,12/1/22,0,0,0,B01
IDLEWILD ELEMENTARY SCHOOL PTO,1950 LINDEN AVE,MEMPHIS,38104-4035,1000,12/1/22,42255,86574,56597,B94
IN FULL MOTION INC,PO BOX 70270,NASHVILLE,37207-0270,1200,,,,,B80
INDIAN SPRINGS ELEMENTARY PTO,333 HILL RD,KINGSPORT,37664-4316,2000,6/1/21,0,0,0,B11
INFLUENCE 1,665 MADISON AVE,MEMPHIS,38103-3307,2100,6/1/22,7597242,4123289,4123289,B19
INNOVATION FOUNDATION INC,3145 BRANDAU RD,HERMITAGE,37076-3504,1000,12/1/22,0,0,0,B99
INNOVATIVE EDUCATION PARTNERSHIP CORPORATION,421 ALCOA TRL,MARYVILLE,37804-5520,2000,6/1/22,1869912,5295437,5283927,B90
INTERNATIONAL SOCIETY FOR CANCER METABOLISM AND NUTRITION INC,2608 BELCOURT AVE,NASHVILLE,37212-3316,1200,12/1/21,0,0,0,B99
IRON CLUB,8650 WALNUT GROVE RD,CORDOVA,38018-4374,1000,6/1/22,0,0,0,B12
JACKSON FOUNDATION INC,855 HIGHWAY 46 S,DICKSON,37055-2616,1000,12/1/21,81442128,3275608,,B190
JAMES C HAILEY SCHOLARSHIP TRUST FUND,345 KAANAPALI LN,ROCK ISLAND,38581-3845,1000,12/1/22,159963,31396,,B82Z
JAMES E AUER U S -JAPAN CENTERS INC,3209 BOXLEY VALLEY RD,FRANKLIN,37064-9348,2000,12/1/21,0,0,0,B99
JCHS-TN BAND BOOSTERS,115 W DUMPLIN VALLEY RD,DANDRIDGE,37725-4501,1200,5/1/22,60647,101998,63519,B94
JERRY GRAY FOUNDATION,1403 WILLOWBROOKE CIR,FRANKLIN,37069-7218,1200,6/1/22,0,0,0,B82
JESSIES DESK,10211 BAKER BOY DR,OOLTEWAH,37363-5896,1000,12/1/22,0,0,0,B90
JO BYRNS ELEMENTARY SCHOOL PTO,6399 HIGHWAY 41 N,CEDAR HILL,37032-4840,1000,6/1/21,0,0,0,B94
JOHNSON CITY PUBLIC SCHOOLS FOUNDATION INC,PO BOX 1517,JOHNSON CITY,37605-1517,2000,9/1/22,148554,45899,45899,B20J
JOHNSON COUNTY HIGH SCHOOL JAMES B PLUMMER MEMORIAL COLLEGE,870 PLUMMER RD,SHADY VALLEY,37688-5200,1200,12/1/22,0,0,0,B82
JOHNSON UNIVERSITY,7900 JOHNSON DR,KNOXVILLE,37998-0001,1000,6/1/22,236951483,27602848,27596664,B500
JORDAN ELEMENTARY PARENT-TEACHER ORGANIZATION PTO,9714 SPLIT LOG RD,BRENTWOOD,37027-3807,1000,6/1/22,44072,67178,67178,B94
JORDON LEGACY GROUP INC,901 BROADWAY UNIT 24353,NASHVILLE,37202-3996,1200,12/1/22,0,0,0,B82
JOSHUA GENERATION FOUNDATION,2340 HENPECK LN,FRANKLIN,37064-5209,1000,12/1/16,0,0,0,B83
JOSHUA L BAILEY EDUCATIONFOUNDATION INC,3021 HAMPSHIRE PIKE,MT PLEASANT,38474-3037,2000,12/1/15,108110,13339,13339,B82
JOVANTE MOFFATT FOUNDATION,3405 LAKEVIEW DR,UNION CITY,38261-1517,2000,,,,,B82
JULIA GREEN SCHOOL PARENT TEACHER ORGANIZATION,3500 HOBBS RD,NASHVILLE,37215-2313,2000,6/1/22,521621,399891,316699,B94
KAPPA ALPHA PSI FRATERNITY,PO BOX 281052,NASHVILLE,37228-8501,1000,,,,,B83
KAPPA ALPHA PSI FRATERNITY,PO BOX 1649,MURFREESBORO,37133-0000,1000,12/1/22,0,0,0,B83
KENWOOD BAND BOOSTERS,251 E PINE MOUNTAIN RD,CLARKSVILLE,37042-8413,1200,12/1/18,0,0,0,B11
KIA KIMA ALUMNI ASSOCIATION,PO BOX 342855,MEMPHIS,38184-2855,1000,12/1/22,0,0,0,B84
KIDS UNIVERSITY LEARNING ACADEMY AND DEVELOPMENT CORPORATION,6604 CROSS OAK CV,MEMPHIS,38141-0400,1000,12/1/20,0,0,0,B21
KINGDOM ACADEMY INC,4571 TAMMY LN,MEMPHIS,38116-2055,1270,,,,,B90
KINGS DAUGHTERS SCHOOL OF MAURY COUNTY TENNESSEE,412 W 9TH ST,COLUMBIA,38401-3105,2000,6/1/22,22315744,15722023,10828649,B28Z
KINGSPORT CITY SCHOOLS EDUCATION FOUNDATION INC,400 CLINCHFIELD ST STE 201,KINGSPORT,37660-3771,1200,6/1/22,158892,2990,2990,B90
KINSHIP BIOTECTURE BIOSTRUCTURE SOUTHEAST INC,415 ASHBURY CIR,SWEETWATER,37874-2340,2000,12/1/20,0,0,0,B60
KITTRELL SCHOOL SCHOLARSHIP FUND INC,1219 WOODS EDGE DR,MURFREESBORO,37130-3166,2100,6/1/19,49032,2073,,B82
KNOX COUNTY RETIRED TEACHERS ASSOCIATION SCHOLARSHIP FOUNDATION,711 HALL OF FAME DR,KNOXVILLE,37915-3247,2000,12/1/22,140153,26376,26376,B82Z
KNOXVILLE ACADEMY OF MEDICINE WOMANS AUXILIARY,PO BOX 10551,KNOXVILLE,37939-0551,3000,5/1/22,0,0,0,B54I
KNOXVILLE TVA EMPLOYEES CREDIT UNION FOUNDATION,PO BOX 36027,KNOXVILLE,37930-6027,1000,12/1/22,310305,13469,,B82
KRAYOLA LEARNING ACADEMY INC,301 MUELLER BRASS RD BOX 8,COVINGTON,38019-3796,2000,12/1/18,1030662,460606,460606,B21
KRISLE ELEMENTARY SCHOOL PARENT TEACHER ORGANIZATION,6712 HIGHWAY 49 E,SPRINGFIELD,37172-5147,2000,12/1/21,0,0,0,B94
L H S RIPLEY TENNESSEE ALUMNI ASSOCIATION,PO BOX 126,RIPLEY,38063-0000,1000,4/1/22,0,0,0,B84
LACY FOUNDATION,2034 S PARKWAY E,MEMPHIS,38114-2019,2000,,,,,B60
LAKELAND MIDDLE CHOIR BOOSTERS,5020 LIONS CREST DR,LAKELAND,38002-2542,1200,6/1/22,0,0,0,B94
LAKELAND MIDDLE ORCHESTRA BOOSTERS,5020 LIONS CREST DR,LAKELAND,38002-2542,1000,12/1/20,0,0,0,B12
LAUSANNE COLLEGIATE SCHOOL,1381 W MASSEY RD,MEMPHIS,38120-3206,2000,5/1/22,26922385,26778580,26527956,B21Z
LEADERSHIP FOR QUEENS,PO BOX 16986,MEMPHIS,38186-0986,1200,12/1/22,0,140642,140642,B90
LEARNING FORWARD TENNESSEE,397 N CASTLE HEIGHTS AVE,LEBANON,37087-1514,2000,6/1/21,0,0,0,B99
LEBANON DEVILETTES FASTPITCH CLUB,PO BOX 3142,LEBANON,37088-3142,1200,5/1/21,0,0,0,B11
LEMOYNE-OWEN COLLEGE NATIONAL ALUMNI ASSOCIATION,807 WALKER AVE,MEMPHIS,38126-6595,1000,6/1/18,16594,1921,1921,B84
LETS INNOVATE THROUGH EDUCATION,2400 POPLAR AVENUE,MEMPHIS,38112-3213,1000,5/1/22,211246,428944,428944,B80
LIBRARY FOUNDATION OF SPRING CITY,PO BOX 311,SPRING CITY,37381-0311,2000,12/1/22,0,0,0,B117
LIBRARY FRIENDS,383 E BROADWAY,NEWPORT,37821-3105,1000,12/1/22,0,0,0,B70
LIBRARY FRIENDS AT MILLERSVILLE,1174 LOUISVILLE HWY,GOODLETTSVLLE,37072-3629,1000,12/1/20,0,0,0,B70
LIFE CHANGING YOUTH SERVICES INC,252 FIELDS AVE,MEMPHIS,38109-1526,2000,12/1/22,0,0,0,B60
LIFEWORKS OF NASHVILLE INC,PO BOX 111841,NASHVILLE,37222-1841,1200,12/1/21,0,0,0,B60
LINDEN ELEMENTARY PARENT-TEACHER ORGANIZATION,700 ROBERTSVILLE RD,OAK RIDGE,37830-8235,1000,6/1/22,0,0,0,B94
LITERACY LIGHTHOUSE,697 HILLCREST ST,MEMPHIS,38112-2411,2000,12/1/20,0,0,0,B90
LITTLE HERITAGE ENRICHMENT CTR INC,3802 GRAGG AVE,MEMPHIS,38108-3805,2100,12/1/20,33930,175000,175000,B21
LITTLE RIVER MONTESSORI SCHOOL PARENT COMMUNITY ASSOCIATION,913 E CUMBERLAND DR,LOUISVILLE,37777-5320,1200,,,,,B94
LIVING EDUCATION ACADEMY,251 JIM FORD RD,JONESBOROUGH,37659-3131,2000,6/1/22,0,0,0,B24
LOGANLENOX FOUNDATION INC,4116 BALDWIN SQ,MEMPHIS,38117-3670,2000,,,,,B05
LOUD AND CLEAR,4903 EASTWOOD DR,CHATTANOOGA,37416-3128,1000,12/1/18,0,0,0,B94
LOUDON COUNTY EDUCATION FOUNDATION,410 WHARF ST,LOUDON,37774-1250,1200,12/1/22,277675,149767,149767,B802
LOVE LIKE JAYLEN SCHOLARSHIP FUND,4285 SULPHUR CREEK RD,BIG SANDY,38221-4351,2000,12/1/22,0,0,0,B82
LOVELIKEASHLIE SCHOLARSHIP,101 FAWNWOOD CT,JONESBOROUGH,37659-7471,1000,,,,,B82
LT ROBERT E HAYES & AARON F HAYES MEMORIAL SCHOLARSHIP & YOUTH,PO BOX 1898,ANTIOCH,37011-1898,1000,12/1/22,0,0,0,B82
LUTTRELL ELEMENTARY SCHOOL PTO,241 TAZEWELL PIKE,LUTTRELL,37779-2019,2000,6/1/22,0,0,0,B94
M54 EAA CHAPTER 863,11670 STEWARTS FERRY PIKE,LEBANON,37090-0867,1280,12/1/22,0,0,0,B99
MACLINS RECREATION RESORT INC,2301 BROWN AVE,MEMPHIS,38108-0000,1000,12/1/18,0,0,0,B28
MACON ROAD BAPTIST SCHOOL,11015 HWY 64,ARLINGTON,38002-0000,1270,,,,,B24
MAGNESS PUBLIC LIBRARY FOUNDATION,118 W MAIN ST,MCMINNVILLE,37110-2516,3000,12/1/21,3509850,183210,74713,B11
MAKING IT SIMPLE,PO BOX 25563,MEMPHIS,38125-8008,1200,,,,,B60
MARTIN METHODIST COLLEGE,1600 DIVISION ST STE 700,NASHVILLE,37203-2771,2000,6/1/22,12674695,5569037,1628893,B410
MARY E TIPPITT MEMORIAL LIBRARY INC,PO BOX 257,TOWNSEND,37882-0257,2000,12/1/18,0,0,0,B70Z
MARY LOU JOHNSON SCHOLARSHIP FOUNDATION,PO BOX 153,SELMER,38375-0153,2000,12/1/21,0,0,0,B82
MARYVILLE CITY SCHOOL BOOSTER CLUB INC,825 LAWRENCE AVE,MARYVILLE,37803-4857,1000,6/1/22,69602,86626,45829,B24I
MARYVILLE HIGH SCHOOL PTSO,825 LAWRENCE AVE,MARYVILLE,37803-4857,1200,6/1/22,0,0,0,B94
MARYVILLE JUNIOR HIGH SCHOOL PARENT ADVISORY COUNCIL,805 MONTVALE STATION RD,MARYVILLE,37803-5803,1000,6/1/22,6430,15915,,B94
MATTHEWS-FAYNE FOUNDATION,3790 BECKMAN DR,BARTLETT,38135-2290,1200,,,,,B80
MBAA INTERNATIONAL INC,PO BOX 45 MTSU,MURFREESBORO,37132-0001,1000,7/1/22,88042,78500,78500,B90
MCCALLIE SCHOOL INC,500 DODDS AVE,CHATTANOOGA,37404-3949,2000,6/1/22,251954499,165872865,79356942,B200
MCEWEN PARENT TEACHER CLUB,220 SWIFT ST E,MCEWEN,37101-4550,2000,,,,,B94
MCFADDEN SCHOOL OF EXCELLENCE PARENT TEACH ORGANIZATION INC,221 BRIDGE AVE,MURFREESBORO,37129-3503,1000,6/1/22,25458,106206,64909,B11
MCMINN CENTRAL FOOTBALL BOOSTER INC,145 COUNTY ROAD 461,ENGLEWOOD,37329-5237,1000,6/1/22,0,0,0,B192
MEAD MONTESSORI PTO,2647 BAFFORD PL,KNOXVILLE,37920-3605,1000,5/1/23,0,0,0,B94
MEJ FOUNDATION INC,119 COUNTY ROAD 577,ENGLEWOOD,37329-5139,2000,12/1/18,0,0,0,B82
MELUNGEON HERITAGE RESEARCH GROUP,866 LAVERGNE LN,LA VERGNE,37086-4272,2000,12/1/20,1,500,,B99
MEMPHIS ACADEMY OF HEALTH SCIENCES,3925 CHELSEA AVENUE EXT,MEMPHIS,38108-2612,2000,6/1/21,2681541,2579655,2579655,B29
MEMPHIS ACTIVE LEARNING PROGRAM,5289 ABBIE WOODS CV,MEMPHIS,38120-1556,2000,8/1/20,0,0,0,B19
MEMPHIS ALUMNI CHAPTER-KAPPA ALPHA PSI FRATERNITY,P O BOX 106,CORDOVA,38018-0000,1000,9/1/22,125004,166216,166216,B83
MEMPHIS BTW HIGH ALUMNI ASSOCIATION INC,1215 SLEDGE AVE,MEMPHIS,38104-4659,1200,12/1/20,0,0,0,B82
MEMPHIS FOR ALL EDUCATION FUND,1000 S COOPER ST,MEMPHIS,38104-5611,2000,12/1/21,121920,246826,246826,B01
MEMPHIS MERIT ACADEMY,4775 AMERICAN WAY,MEMPHIS,38118-2412,2000,6/1/22,2579395,3378082,3378082,B29
MEMPHIS TEACHER RESIDENCY INC,PO BOX 40713,MEMPHIS,38174-0713,1000,5/1/22,5540031,6575161,6575161,B82
MEMPHIS-SHELBY COUNTY OF TENNESSEE STATE UNIVERSITY ALUMNI ASSC,2809 KIRBY RD STE 116 # 249,MEMPHIS,38119-8245,1200,12/1/20,0,0,0,B84
MID-SOUTH IEC EDUCATIONAL ASSOCIATION,2814 CENTER DRIVE,BARTLETT,38134-0000,2000,12/1/22,1,0,0,B28
MIDDLE SCHOOL HAWKS PTO,2265 CARDINAL LN,CLARKSVILLE,37043-1329,1000,6/1/22,0,0,0,B94
MIDDLE TENNESSEE CHILD RESOURCE CENTER,1784 W NORTHFIELD BLVD,MURFREESBORO,37129-1702,2000,,,,,B01
MIDDLE TENNESSEE CIVIL WAR ROUND TABLE,205 TITANS CIR,MURFREESBORO,37127-7156,2000,12/1/22,0,0,0,B90
MIDDLE TENNESSEE FIRE SOCCER TEAM,321 WALNUT CT,WHITE HOUSE,37188-8202,1200,12/1/22,0,0,0,B25
MIDDLE TENNESSEE RUGBY ALUMNI FOUNDATION,PO BOX 364,WOODBURY,37190-0364,1200,12/1/22,0,0,0,B84
MIDDLE TENNESSEE SCIENCE AND ENGINEERING FAIR FOUNDATION,1900 BELMONT BLVD,NASHVILLE,37212-3758,1000,7/1/22,0,0,0,B90
MIDSOUTH BANCPAC USERS GROUP,51 GERMANTOWN CT STE 100,CORDOVA,38018-4270,2000,12/1/18,0,0,0,B60
MIDWAY ELEMENTARY SCHOOL PTO,130 LAUREL BLUFF RD,KINGSTON,37763-6000,1000,,,,,B94
MIGHTY OAKS,875 W POPLAR AVE STE 23 # 275,COLLIERVILLE,38017-2598,1200,,,,,B99
MILAN BAND PARENTS ASSOCIATION INC,PO BOX 273,MILAN,38358-0273,1200,5/1/22,0,0,0,B11
MILES J FREEMAN MEMORIAL SCHOLARSHIP FOUNDATION INC,2462,BRENTWOOD,37024-0000,2000,12/1/21,0,0,0,B82
MILL CREEK ELEMENTARY,10521 COWARD MILL RD,KNOXVILLE,37931-3004,1200,,,,,B94
MILLENNIAL DEBT FOUNDATION,401 CHESTNUT ST STE 226,CHATTANOOGA,37402-4937,1000,12/1/21,310212,350904,350904,B01
MILLINGTON INTERMEDIATE SCHOOL PTO,4964 CUBA MILLINGTON RD,MILLINGTON,38053-1724,2000,6/1/22,0,0,0,B94
MITCHELL HIGH SCHOOL ALUMNI ASSOCIATION INC,PO BOX 9156,MEMPHIS,38190-0156,1000,6/1/22,0,0,0,B84
MMERGE MINISTRIES,138 CLUB DR,MCMINNVILLE,37110-1802,1000,12/1/17,0,0,0,B90
MMS MOTIVATORS,100 EDUCATION AVE,MUNFORD,38058-6262,2000,6/1/22,0,0,0,B94
MORE THAN A WALK INC,2714 9TH AVE S,NASHVILLE,37204-2611,1200,,,,,B90
MOUNTAIN EDUCATION FOUNDATION,PO BOX 81,SIGNAL MTN,37377-0081,2100,6/1/22,2794166,771190,743411,B90
MPMSVPA PTO,410 GRAY LN,MT PLEASANT,38474-1057,1200,6/1/19,0,0,0,B94
MS01,5731 LYONS VIEW PIKE STE 214,KNOXVILLE,37919-6488,1200,,,,,B12
MT JULIET ELEMENTARY PARENT TEACHER ORGANIZATION,2521 W DIVISION ST,MOUNT JULIET,37122-3496,1000,6/1/22,54981,83359,46281,B94Z
MT PISGAH MIDDLE SCHOOL BAND BOOSTER ASSOCIATION,1444 PISGAH RD,CORDOVA,38016-5404,1000,6/1/17,0,0,0,B112
MUNFORD ELEMENTARY SCHOOL PTO,1200 MCLAUGHLIN DR,MUNFORD,38058-6241,2000,7/1/22,0,0,0,B94
MURFREESBORO HOMESCHOOLERS,304 BRISTON CT,MURFREESBORO,37127-7230,1200,12/1/22,0,0,0,B90
MVP ELITE,4036 CHARLESTON MASON RD,MASON,38049-6600,1200,,,,,B80
NANNIE BERRY ELEMENTARY PARENT TEACHER ORG PTO HENDERSONVILLE TN,138 INDIAN LAKE RD,HENDERSONVLLE,37075-3835,1000,6/1/22,44135,111838,74313,B94
NAPIER-LOOBY BAR FOUNDATION,PO BOX 19478,NASHVILLE,37219-0000,1000,12/1/18,0,0,0,B82
NASHVILLE BIRTH COLLECTIVE,4107 CHARLOTTE AVE,NASHVILLE,37209-3705,2000,12/1/20,0,0,0,B01
NASHVILLE COACHING COALITION INC,2416 21ST AVE S STE 203A,NASHVILLE,37212-5312,2000,12/1/21,326904,496100,393947,B99
NASHVILLE FISK ALUMNI CLUB,PO BOX 331563,NASHVILLE,37203-7515,1000,12/1/20,0,0,0,B84
NASHVILLE GUIDE RIGHT FOUNDATION,PO BOX 280851,NASHVILLE,37228-0851,1000,12/1/22,0,0,0,B80
NASHVILLE RISE,3030 NED SHELTON RD APT 219,NASHVILLE,37217-5719,2000,12/1/19,0,0,0,B01
